dep;semaine;sursaud_cl_age_corona;Nbre_pass_Corona;Nbre_pass_tot;Nbre_hospit_Corona;Nbre_acte_corona;Nbre_acte_tot
01;2020-S10;0;0;1929;0;;
01;2020-S10;A;0;351;0;;
01;2020-S10;B;0;751;0;;
01;2020-S10;C;0;371;0;;
01;2020-S10;D;0;172;0;;
01;2020-S10;E;0;284;0;;
01;2020-S11;0;27;1827;8;;
01;2020-S11;A;1;336;0;;
01;2020-S11;B;11;723;3;;
01;2020-S11;C;8;371;2;;
01;2020-S11;D;1;168;1;;
01;2020-S11;E;6;229;2;;
02;2020-S10;0;56;2882;10;2;2376
02;2020-S10;A;5;669;4;0;643
02;2020-S10;B;31;1008;3;0;1048
02;2020-S10;C;19;528;2;1;368
02;2020-S10;D;0;251;0;1;115
02;2020-S10;E;1;426;1;0;159
02;2020-S11;0;78;2682;20;33;2631
02;2020-S11;A;0;671;0;5;748
02;2020-S11;B;30;923;2;16;1140
02;2020-S11;C;23;497;5;9;429
02;2020-S11;D;14;232;6;1;119
02;2020-S11;E;11;358;7;2;170
03;2020-S10;0;0;1195;0;;
03;2020-S10;A;0;182;0;;
03;2020-S10;B;0;436;0;;
03;2020-S10;C;0;228;0;;
03;2020-S10;D;0;107;0;;
03;2020-S10;E;0;242;0;;
03;2020-S11;0;0;1012;0;;
03;2020-S11;A;0;150;0;;
03;2020-S11;B;0;361;0;;
03;2020-S11;C;0;205;0;;
03;2020-S11;D;0;103;0;;
03;2020-S11;E;0;193;0;;
04;2020-S10;0;0;1212;0;;
04;2020-S10;A;0;236;0;;
04;2020-S10;B;0;406;0;;
04;2020-S10;C;0;261;0;;
04;2020-S10;D;0;116;0;;
04;2020-S10;E;0;193;0;;
04;2020-S11;0;5;1116;3;;
04;2020-S11;A;0;182;0;;
04;2020-S11;B;1;379;1;;
04;2020-S11;C;3;261;1;;
04;2020-S11;D;1;112;1;;
04;2020-S11;E;0;182;0;;
05;2020-S10;0;24;1165;9;;
05;2020-S10;A;4;235;1;;
05;2020-S10;B;9;426;2;;
05;2020-S10;C;11;265;6;;
05;2020-S10;D;0;110;0;;
05;2020-S10;E;0;129;0;;
05;2020-S11;0;90;1094;11;;
05;2020-S11;A;6;172;1;;
05;2020-S11;B;44;432;4;;
05;2020-S11;C;32;242;3;;
05;2020-S11;D;5;99;2;;
05;2020-S11;E;3;149;1;;
06;2020-S10;0;77;6153;53;0;1221
06;2020-S10;A;5;1293;5;0;346
06;2020-S10;B;21;2167;8;0;479
06;2020-S10;C;17;1123;9;0;202
06;2020-S10;D;9;534;7;0;64
06;2020-S10;E;25;1036;24;0;130
06;2020-S11;0;277;5794;217;0;1214
06;2020-S11;A;31;1349;30;0;334
06;2020-S11;B;103;2102;69;0;484
06;2020-S11;C;59;1022;41;0;220
06;2020-S11;D;32;463;29;0;55
06;2020-S11;E;52;858;48;0;121
07;2020-S10;0;2;1020;0;;
07;2020-S10;A;0;88;0;;
07;2020-S10;B;1;416;0;;
07;2020-S10;C;1;224;0;;
07;2020-S10;D;0;110;0;;
07;2020-S10;E;0;182;0;;
07;2020-S11;0;4;984;0;;
07;2020-S11;A;0;87;0;;
07;2020-S11;B;2;440;0;;
07;2020-S11;C;2;243;0;;
07;2020-S11;D;0;87;0;;
07;2020-S11;E;0;127;0;;
08;2020-S10;0;1;1686;0;;
08;2020-S10;A;0;389;0;;
08;2020-S10;B;0;569;0;;
08;2020-S10;C;1;298;0;;
08;2020-S10;D;0;169;0;;
08;2020-S10;E;0;261;0;;
08;2020-S11;0;1;1447;0;;
08;2020-S11;A;0;333;0;;
08;2020-S11;B;1;514;0;;
08;2020-S11;C;0;266;0;;
08;2020-S11;D;0;123;0;;
08;2020-S11;E;0;211;0;;
09;2020-S10;0;0;901;0;;
09;2020-S10;A;0;153;0;;
09;2020-S10;B;0;325;0;;
09;2020-S10;C;0;187;0;;
09;2020-S10;D;0;91;0;;
09;2020-S10;E;0;145;0;;
09;2020-S11;0;12;835;1;;
09;2020-S11;A;0;157;0;;
09;2020-S11;B;9;263;0;;
09;2020-S11;C;3;171;1;;
09;2020-S11;D;0;80;0;;
09;2020-S11;E;0;164;0;;
10;2020-S10;0;0;1361;0;1;988
10;2020-S10;A;0;310;0;0;301
10;2020-S10;B;0;516;0;1;468
