dep,date_de_passage,sursaud_cl_age_corona,nbre_pass_corona,nbre_pass_tot,nbre_hospit_corona,nbre_pass_corona_h,nbre_pass_corona_f,nbre_pass_tot_h,nbre_pass_tot_f,nbre_hospit_corona_h,nbre_hospit_corona_f,nbre_acte_corona,nbre_acte_tot,nbre_acte_corona_h,nbre_acte_corona_f,nbre_acte_tot_h,nbre_acte_tot_f
01,2020-02-24,0,0,357,0,0,0,202,155,0,0,,,,,,
01,2020-02-25,0,0,310,0,0,0,177,133,0,0,,,,,,
01,2020-02-26,0,0,366,0,0,0,193,173,0,0,,,,,,
01,2020-02-27,0,0,321,0,0,0,178,143,0,0,,,,,,
01,2020-02-28,0,0,339,0,0,0,166,173,0,0,,,,,,
01,2020-02-29,0,0,283,0,0,0,145,138,0,0,,,,,,
01,2020-03-01,0,0,229,0,0,0,120,109,0,0,,,,,,
01,2020-03-02,0,0,278,0,0,0,130,148,0,0,,,,,,
01,2020-03-03,0,0,300,0,0,0,138,162,0,0,,,,,,
01,2020-03-04,0,0,278,0,0,0,148,130,0,0,,,,,,
01,2020-03-05,0,0,263,0,0,0,117,146,0,0,,,,,,
01,2020-03-06,0,0,270,0,0,0,139,131,0,0,,,,,,
01,2020-03-07,0,0,292,0,0,0,150,142,0,0,,,,,,
01,2020-03-08,0,0,248,0,0,0,140,107,0,0,,,,,,
01,2020-03-09,0,6,335,0,1,5,187,148,0,0,,,,,,
01,2020-03-10,0,0,250,0,0,0,138,112,0,0,,,,,,
01,2020-03-11,0,1,299,1,0,1,161,138,0,1,,,,,,
01,2020-03-12,0,5,272,1,1,4,157,115,0,1,,,,,,
01,2020-03-13,0,6,268,3,3,3,149,119,3,0,,,,,,
01,2020-03-14,0,7,240,3,3,4,138,102,2,1,,,,,,
01,2020-03-15,0,4,235,1,2,2,125,110,1,0,,,,,,
01,2020-03-16,0,2,206,0,1,1,114,92,0,0,,,,,,
01,2020-03-17,0,6,170,3,4,2,86,84,2,1,,,,,,
01,2020-03-18,0,24,207,3,8,16,104,103,2,1,,,,,,
01,2020-03-19,0,8,152,4,4,4,83,69,4,0,,,,,,
01,2020-03-20,0,10,132,8,6,4,64,68,5,3,,,,,,
01,2020-03-21,0,12,138,4,7,5,77,61,4,0,,,,,,
02,2020-02-24,0,0,453,0,0,0,242,211,0,0,0,382,0,0,174,208
02,2020-02-25,0,0,407,0,0,0,215,192,0,0,0,294,0,0,130,164
02,2020-02-26,0,0,452,0,0,0,234,218,0,0,0,319,0,0,145,174
02,2020-02-27,0,0,382,0,0,0,200,182,0,0,0,251,0,0,110,141
02,2020-02-28,0,0,392,0,0,0,189,203,0,0,0,300,0,0,123,177
02,2020-02-29,0,0,402,0,0,0,202,200,0,0,0,317,0,0,112,205
02,2020-03-01,0,5,360,2,4,1,185,175,2,0,0,214,0,0,94,120
02,2020-03-02,0,8,458,4,3,5,236,222,0,4,0,469,0,0,196,273
02,2020-03-03,0,14,470,0,2,12,242,228,0,0,0,350,0,0,138,212
02,2020-03-04,0,3,369,0,3,0,202,167,0,0,0,353,0,0,151,202
02,2020-03-05,0,5,426,1,1,4,209,217,1,0,0,374,0,0,176,198
02,2020-03-06,0,9,411,1,2,7,215,196,0,1,1,378,0,1,180,198
02,2020-03-07,0,12,374,2,2,10,191,182,1,1,0,263,0,0,114,149
02,2020-03-08,0,5,374,2,3,2,177,197,1,1,1,189,0,1,78,111
02,2020-03-09,0,15,506,3,7,8,262,244,1,2,3,456,1,2,210,246
02,2020-03-10,0,15,438,5,6,9,226,212,2,3,2,353,2,0,166,187
02,2020-03-11,0,22,378,10,12,10,208,170,7,3,1,405,0,1,179,226
02,2020-03-12,0,12,404,4,1,11,214,190,0,4,3,405,1,2,157,248
02,2020-03-13,0,7,353,0,1,6,183,170,0,0,12,411,5,7,168,243
02,2020-03-14,0,13,326,3,3,10,168,158,1,2,4,386,2,2,170,216
02,2020-03-15,0,8,298,5,6,2,151,147,4,1,8,215,0,8,98,117
02,2020-03-16,0,17,266,6,9,8,144,122,5,1,10,311,5,5,154,157
02,2020-03-17,0,30,269,11,6,24,153,116,1,10,11,288,5,6,135,153
02,2020-03-18,0,14,213,7,7,7,116,97,4,3,19,241,9,10,108,133
02,2020-03-19,0,15,207,7,10,5,110,97,5,2,23,224,9,14,103,121
02,2020-03-20,0,23,194,6,10,13,100,93,3,3,26,219,10,16,90,129
02,2020-03-21,0,11,175,0,6,5,93,82,0,0,16,203,5,11,80,123
03,2020-02-24,0,0,223,0,0,0,108,115,0,0,,,,,,
03,2020-02-25,0,0,172,0,0,0,111,61,0,0,,,,,,
03,2020-02-26,0,0,197,0,0,0,103,94,0,0,,,,,,
03,2020-02-27,0,0,170,0,0,0,84,86,0,0,,,,,,
03,2020-02-28,0,0,189,0,0,0,93,96,0,0,,,,,,
03,2020-02-29,0,0,160,0,0,0,78,82,0,0,,,,,,
03,2020-03-01,0,0,176,0,0,0,97,79,0,0,,,,,,
03,2020-03-02,0,0,212,0,0,0,106,106,0,0,,,,,,
03,2020-03-03,0,0,172,0,0,0,85,87,0,0,,,,,,
03,2020-03-04,0,0,175,0,0,0,93,82,0,0,,,,,,
03,2020-03-05,0,0,175,0,0,0,90,85,0,0,,,,,,
03,2020-03-06,0,0,151,0,0,0,70,81,0,0,,,,,,
03,2020-03-07,0,0,154,0,0,0,84,70,0,0,,,,,,
03,2020-03-08,0,0,156,0,0,0,84,72,0,0,,,,,,
03,2020-03-09,0,11,231,11,3,8,120,111,3,8,,,,,,
03,2020-03-10,0,8,204,8,6,2,114,90,6,2,,,,,,
03,2020-03-11,0,6,205,6,5,1,106,99,5,1,,,,,,
03,2020-03-12,0,3,175,3,3,0,101,74,3,0,,,,,,
03,2020-03-13,0,0,161,0,0,0,75,86,0,0,,,,,,
03,2020-03-14,0,1,136,0,0,1,66,70,0,0,,,,,,
03,2020-03-15,0,1,128,0,1,0,72,56,0,0,,,,,,
03,2020-03-16,0,10,104,0,1,9,47,57,0,0,,,,,,
03,2020-03-17,0,19,98,4,6,13,41,57,1,3,,,,,,
03,2020-03-18,0,3,95,2,3,0,54,41,2,0,,,,,,
03,2020-03-19,0,13,91,8,8,5,45,46,5,3,,,,,,
03,2020-03-20,0,6,81,5,2,4,43,38,2,3,,,,,,
03,2020-03-21,0,2,60,1,1,1,34,26,1,0,,,,,,
04,2020-02-24,0,0,196,0,0,0,102,94,0,0,,,,,,
04,2020-02-25,0,0,188,0,0,0,105,83,0,0,,,,,,
04,2020-02-26,0,0,164,0,0,0,83,81,0,0,,,,,,
04,2020-02-27,0,0,179,0,0,0,82,97,0,0,,,,,,
04,2020-02-28,0,0,161,0,0,0,82,79,0,0,,,,,,
04,2020-02-29,0,0,170,0,0,0,84,86,0,0,,,,,,
04,2020-03-01,0,0,157,0,0,0,85,72,0,0,,,,,,
04,2020-03-02,0,0,189,0,0,0,99,90,0,0,,,,,,
04,2020-03-03,0,0,169,0,0,0,84,85,0,0,,,,,,
04,2020-03-04,0,0,169,0,0,0,85,84,0,0,,,,,,
04,2020-03-05,0,0,168,0,0,0,86,82,0,0,,,,,,
04,2020-03-06,0,0,183,0,0,0,94,89,0,0,,,,,,
04,2020-03-07,0,0,193,0,0,0,98,95,0,0,,,,,,
04,2020-03-08,0,0,141,0,0,0,73,68,0,0,,,,,,
04,2020-03-09,0,1,205,1,1,0,109,96,1,0,,,,,,
04,2020-03-10,0,1,171,1,1,0,95,76,1,0,,,,,,
04,2020-03-11,0,0,168,0,0,0,80,88,0,0,,,,,,
04,2020-03-12,0,0,148,0,0,0,83,65,0,0,,,,,,
04,2020-03-13,0,2,139,1,2,0,73,66,1,0,,,,,,
04,2020-03-14,0,4,143,3,1,3,72,71,1,2,,,,,,
04,2020-03-15,0,0,144,0,0,0,75,69,0,0,,,,,,
04,2020-03-16,0,0,122,0,0,0,47,75,0,0,,,,,,
04,2020-03-17,0,2,85,2,1,1,50,35,1,1,,,,,,
04,2020-03-18,0,2,112,2,2,0,67,45,2,0,,,,,,
04,2020-03-19,0,2,109,1,2,0,60,49,1,0,,,,,,
04,2020-03-20,0,9,107,4,2,7,53,54,1,3,,,,,,
04,2020-03-21,0,7,94,2,2,5,46,48,1,1,,,,,,
05,2020-02-24,0,0,231,0,0,0,129,102,0,0,,,,,,
05,2020-02-25,0,0,215,0,0,0,117,98,0,0,,,,,,
05,2020-02-26,0,0,203,0,0,0,111,92,0,0,,,,,,
05,2020-02-27,0,0,192,0,0,0,103,89,0,0,,,,,,
05,2020-02-28,0,0,202,0,0,0,103,99,0,0,,,,,,
05,2020-02-29,0,0,171,0,0,0,93,78,0,0,,,,,,
05,2020-03-01,0,0,197,0,0,0,102,95,0,0,,,,,,
05,2020-03-02,0,0,130,0,0,0,64,66,0,0,,,,,,
